"Table 1. Per Capita Personal Income, by County, 2021–2023",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in state,Percent change,,Rank in state
Santa Rosa,"55,510","56,489","59,385",22,1.8,5.1,50
Sarasota,"79,644","79,255","85,157",8,-0.5,7.4,12
Seminole,"57,812","59,385","62,804",18,2.7,5.8,45
Sumter,"66,960","66,114","71,231",12,-1.3,7.7,10
Suwannee,"40,752","41,594","44,416",49,2.1,6.8,20
Taylor,"37,709","36,377","39,813",57,-3.5,9.4,2
Union,"26,134","27,029","28,946",67,3.4,7.1,16
Volusia,"51,848","52,494","55,824",29,1.2,6.3,34
Wakulla,"46,783","48,280","52,124",34,3.2,8.0,6
Walton,"83,235","84,370","89,435",6,1.4,6.0,44
Washington,"37,117","36,288","38,734",58,-2.2,6.7,22
,,,,,,,
Georgia,"56,088","57,290","59,882",--,2.1,4.5,--
Appling,"42,794","44,609","48,022",50,4.2,7.7,5
Atkinson,"35,859","37,962","36,641",148,5.9,-3.5,153
Bacon,"39,625","40,616","41,682",119,2.5,2.6,113
Baker,"51,291","49,278","47,906",52,-3.9,-2.8,152
Baldwin,"41,945","43,295","45,617",74,3.2,5.4,22
Banks,"43,100","44,808","43,896",95,4.0,-2.0,151
Barrow,"45,802","48,229","50,221",38,5.3,4.1,60
Bartow,"47,529","49,193","51,396",34,3.5,4.5,49
Ben Hill,"39,268","40,383","42,217",110,2.8,4.5,46
Berrien,"40,308","41,012","41,787",117,1.7,1.9,130
Bibb,"47,437","46,655","48,455",46,-1.6,3.9,71
Bleckley,"43,205","41,754","42,820",103,-3.4,2.6,117
Brantley,"35,430","36,520","37,617",146,3.1,3.0,97
Brooks,"40,372","40,149","40,884",126,-0.6,1.8,131
Bryan,"55,957","58,376","60,655",15,4.3,3.9,69
Bulloch,"39,216","39,523","40,939",125,0.8,3.6,82
Burke,"41,819","42,364","42,661",106,1.3,0.7,141
Butts,"41,345","41,896","44,514",86,1.3,6.2,9
Calhoun,"35,624","34,490","35,593",150,-3.2,3.2,93
Camden,"43,723","44,809","46,608",63,2.5,4.0,65
Candler,"41,100","41,560","42,764",104,1.1,2.9,101
Carroll,"49,186","49,914","51,798",31,1.5,3.8,73
Catoosa,"42,143","43,876","45,791",69,4.1,4.4,53
Charlton,"31,040","31,582","32,717",157,1.7,3.6,81
Chatham,"56,536","56,676","59,376",18,0.2,4.8,41
Chattahoochee,"38,654","37,760","38,026",144,-2.3,0.7,140
Chattooga,"37,014","37,111","38,269",142,0.3,3.1,94
Cherokee,"62,910","67,315","71,255",7,7.0,5.9,14
Clarke,"40,631","42,153","43,899",94,3.7,4.1,58
Clay,"40,688","38,237","39,127",137,-6.0,2.3,122
Clayton,"35,003","33,873","34,871",153,-3.2,2.9,99
