"Table 1. Per Capita Personal Income, by County, 2021–2023",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in state,Percent change,,Rank in state
Clackamas,"71,628","75,823","80,269",2,5.9,5.9,17
Clatsop,"54,545","56,330","60,930",12,3.3,8.2,3
Columbia,"53,974","55,729","59,020",17,3.3,5.9,16
Coos,"54,684","55,424","59,838",14,1.4,8.0,4
Crook,"52,221","54,158","57,968",20,3.7,7.0,8
Curry,"52,030","52,705","57,405",21,1.3,8.9,2
Deschutes,"70,556","75,972","81,025",1,7.7,6.7,11
Douglas,"50,748","50,135","52,684",30,-1.2,5.1,27
Gilliam,"65,894","73,942","71,618",6,12.2,-3.1,36
Grant,"51,388","52,330","54,969",26,1.8,5.0,28
Harney,"50,171","52,128","53,228",29,3.9,2.1,32
Hood River,"66,079","66,905","71,946",5,1.3,7.5,5
Jackson,"57,180","58,570","62,541",8,2.4,6.8,9
Jefferson,"44,404","43,902","46,111",35,-1.1,5.0,29
Josephine,"52,513","51,561","55,038",25,-1.8,6.7,10
Klamath,"47,688","48,655","51,246",32,2.0,5.3,25
Lake,"48,142","47,956","50,163",33,-0.4,4.6,30
Lane,"56,148","57,885","61,634",11,3.1,6.5,12
Lincoln,"54,434","55,709","59,715",15,2.3,7.2,7
Linn,"52,230","54,123","57,016",22,3.6,5.3,23
Malheur,"38,843","39,887","40,360",36,2.7,1.2,33
Marion,"54,208","55,460","58,470",19,2.3,5.4,21
Morrow,"53,209","59,386","58,480",18,11.6,-1.5,34
Multnomah,"69,943","71,851","75,772",4,2.7,5.5,20
Polk,"50,952","51,772","55,086",24,1.6,6.4,13
Sherman,"65,224","68,504","66,483",7,5.0,-3.0,35
Tillamook,"54,444","58,235","61,950",10,7.0,6.4,14
Umatilla,"48,716","50,516","53,253",28,3.7,5.4,22
Union,"49,200","50,308","53,469",27,2.3,6.3,15
Wallowa,"53,543","56,672","59,576",16,5.8,5.1,26
Wasco,"52,618","53,723","56,865",23,2.1,5.8,18
Washington,"74,715","75,130","79,139",3,0.6,5.3,24
Wheeler,"42,862","45,204","49,563",34,5.5,9.6,1
Yamhill,"56,090","58,698","61,974",9,4.6,5.6,19
,,,,,,,
Pennsylvania,"63,788","65,401","68,945",--,2.5,5.4,--
Adams,"55,416","56,506","58,880",23,2.0,4.2,52
Allegheny,"69,414","71,362","75,468",5,2.8,5.8,13
Armstrong,"53,392","56,791","58,854",24,6.4,3.6,60
Beaver,"55,016","55,174","58,206",27,0.3,5.5,17
Bedford,"49,771","50,263","52,510",46,1.0,4.5,45
Berks,"57,913","58,686","61,575",17,1.3,4.9,37
Blair,"54,826","55,071","57,782",30,0.4,4.9,38
Bradford,"47,753","49,053","50,930",56,2.7,3.8,58
Bucks,"83,546","87,713","92,846",3,5.0,5.9,12
Butler,"67,680","68,762","73,039",7,1.6,6.2,6
Cambria,"48,712","48,018","50,932",55,-1.4,6.1,9
Cameron,"52,268","51,491","54,148",38,-1.5,5.2,31
Carbon,"60,328","58,535","62,353",15,-3.0,6.5,2
Centre,"54,767","54,756","57,800",29,0.0,5.6,16
Chester,"96,215","101,677","108,215",1,5.7,6.4,3
Clarion,"47,303","47,685","50,175",58,0.8,5.2,29
Clearfield,"53,641","54,951","57,841",28,2.4,5.3,27
Clinton,"46,633","46,366","48,383",62,-0.6,4.4,51
Columbia,"50,147","50,004","52,692",45,-0.3,5.4,22
Crawford,"48,226","48,734","51,236",52,1.1,5.1,33
Cumberland,"64,038","65,687","68,998",9,2.6,5.0,36
Dauphin,"58,105","58,092","60,670",20,0.0,4.4,46
Delaware,"75,729","78,930","83,368",4,4.2,5.6,15
Elk,"50,577","50,945","53,862",39,0.7,5.7,14
Erie,"52,723","51,554","54,694",36,-2.2,6.1,8
Fayette,"49,374","49,302","51,467",50,-0.1,4.4,50
Forest,"28,625","28,437","30,606",67,-0.7,7.6,1
Franklin,"54,799","56,112","58,380",26,2.4,4.0,54
Fulton,"49,488","47,915","49,640",60,-3.2,3.6,61
Greene,"48,849","50,640","52,757",44,3.7,4.2,53
Huntingdon,"45,635","45,444","46,957",66,-0.4,3.3,64
Indiana,"46,462","45,910","48,336",63,-1.2,5.3,24
Jefferson,"48,226","48,530","50,976",54,0.6,5.0,35
Juniata,"56,579","60,088","62,851",14,6.2,4.6,43
Lackawanna,"54,437","54,479","56,985",33,0.1,4.6,42
Lancaster,"61,287","64,355","66,876",11,5.0,3.9,56
Lawrence,"51,416","51,072","53,835",40,-0.7,5.4,19
Lebanon,"56,065","56,954","58,851",25,1.6,3.3,63
Lehigh,"61,954","62,536","65,898",12,0.9,5.4,21
Luzerne,"51,307","50,955","53,214",43,-0.7,4.4,47
Lycoming,"50,449","50,940","53,630",41,1.0,5.3,25
McKean,"49,946","48,986","51,318",51,-1.9,4.8,40
Mercer,"48,513","48,630","51,133",53,0.2,5.1,32
Mifflin,"46,271","47,383","49,197",61,2.4,3.8,57
Monroe,"51,663","51,977","54,716",35,0.6,5.3,26
Montgomery,"92,639","95,237","101,172",2,2.8,6.2,5
Montour,"64,432","67,096","70,610",8,4.1,5.2,28
Northampton,"61,949","64,191","68,050",10,3.6,6.0,10
Northumberland,"48,288","48,499","50,445",57,0.4,4.0,55
Perry,"54,388","54,842","56,411",34,0.8,2.9,65
Philadelphia,"57,627","58,783","61,829",16,2.0,5.2,30
Pike,"55,280","56,041","59,543",21,1.4,6.2,4
Potter,"52,092","46,407","48,180",64,-10.9,3.8,59
Schuylkill,"49,219","49,853","52,049",48,1.3,4.4,48
Snyder,"51,173","53,285","54,472",37,4.1,2.2,66
Somerset,"48,575","47,188","49,685",59,-2.9,5.3,23
Sullivan,"55,400","56,482","59,379",22,2.0,5.1,34
Susquehanna,"56,165","59,387","61,452",18,5.7,3.5,62
Tioga,"46,281","46,793","47,580",65,1.1,1.7,67
Union,"50,161","51,099","53,495",42,1.9,4.7,41
Venango,"49,403","49,218","51,568",49,-0.4,4.8,39
Warren,"48,900","49,366","52,057",47,1.0,5.5,18
Washington,"65,480","71,259","75,091",6,8.8,5.4,20
Wayne,"52,956","54,371","57,575",31,2.7,5.9,11
Westmoreland,"59,471","60,282","64,021",13,1.4,6.2,7
Wyoming,"53,914","54,770","57,180",32,1.6,4.4,49
York,"57,329","58,305","60,915",19,1.7,4.5,44
,,,,,,,
Rhode Island,"62,907","64,406","67,562",--,2.4,4.9,--
Bristol,"85,243","87,721","92,538",1,2.9,5.5,4
Kent,"66,011","68,119","72,004",4,3.2,5.7,3
Newport,"81,283","84,650","89,517",2,4.1,5.7,2
Providence,"54,947","56,179","58,572",5,2.2,4.3,5
Washington,"78,229","78,884","83,586",3,0.8,6.0,1
,,,,,,,
South Carolina,"53,224","54,429","57,332",--,2.3,5.3,--
Abbeville,"40,434","41,213","43,106",39,1.9,4.6,20
Aiken,"51,797","51,982","53,883",13,0.4,3.7,33
Allendale,"42,587","43,551","46,875",28,2.3,7.6,2
Anderson,"47,395","48,196","50,288",20,1.7,4.3,26
Bamberg,"40,441","42,033","44,564",34,3.9,6.0,11
Barnwell,"40,891","40,462","41,338",41,-1.0,2.2,45
Beaufort,"71,579","75,295","80,192",2,5.2,6.5,6
Berkeley,"50,180","51,419","55,131",11,2.5,7.2,3
Calhoun,"50,203","49,985","51,945",16,-0.4,3.9,31
Charleston,"74,475","78,187","83,294",1,5.0,6.5,5
Cherokee,"39,216","40,508","41,896",40,3.3,3.4,37
Chester,"41,525","43,368","44,918",32,4.4,3.6,34
Chesterfield,"39,618","39,239","40,396",43,-1.0,2.9,41
Clarendon,"45,802","46,134","48,457",27,0.7,5.0,18
Colleton,"42,477","43,657","46,418",29,2.8,6.3,8
Darlington,"47,198","48,114","49,772",22,1.9,3.4,36
Dillon,"39,970","39,195","40,339",44,-1.9,2.9,43
Dorchester,"46,997","49,565","51,555",17,5.5,4.0,28
Edgefield,"49,260","48,840","50,938",19,-0.9,4.3,27
Fairfield,"49,384","49,818","52,780",15,0.9,5.9,13
Florence,"51,570","52,282","54,943",12,1.4,5.1,17
Georgetown,"57,506","59,303","61,924",4,3.1,4.4,24
Greenville,"56,128","57,838","60,866",5,3.0,5.2,16
Greenwood,"44,181","44,376","46,153",30,0.4,4.0,29
Hampton,"40,916","41,809","44,723",33,2.2,7.0,4
Horry,"47,831","48,457","51,033",18,1.3,5.3,15
Jasper,"42,367","45,075","48,687",26,6.4,8.0,1
Kershaw,"51,845","53,598","57,000",10,3.4,6.3,7
Lancaster,"53,354","55,455","58,926",7,3.9,6.3,9
Laurens,"42,626","42,530","43,851",37,-0.2,3.1,39
Lee,"41,496","42,946","44,427",35,3.5,3.4,35
Lexington,"56,175","57,241","60,682",6,1.9,6.0,12
McCormick,"46,128","47,086","49,183",25,2.1,4.5,23
Marion,"41,378","41,759","43,174",38,0.9,3.4,38
Marlboro,"38,490","38,132","38,787",46,-0.9,1.7,46
Newberry,"47,270","47,995","49,870",21,1.5,3.9,32
Oconee,"53,686","54,951","57,361",8,2.4,4.4,25
Orangeburg,"42,361","42,590","44,277",36,0.5,4.0,30
Pickens,"45,494","47,139","49,294",24,3.6,4.6,21
Richland,"53,699","53,850","57,160",9,0.3,6.1,10
Saluda,"44,376","44,683","45,923",31,0.7,2.8,44
Spartanburg,"53,005","51,359","53,700",14,-3.1,4.6,22
Sumter,"46,803","47,477","49,704",23,1.4,4.7,19
Union,"38,691","39,168","40,314",45,1.2,2.9,42
Williamsburg,"39,715","39,335","40,528",42,-1.0,3.0,40
York,"57,107","59,433","62,604",3,4.1,5.3,14
,,,,,,,
South Dakota,"67,029","69,724","72,466",--,4.0,3.9,--
Aurora,"56,323","60,972","62,896",45,8.3,3.2,31
Beadle,"57,517","59,205","62,173",47,2.9,5.0,22
Bennett,"46,043","50,582","50,005",57,9.9,-1.1,50
Bon Homme,"48,154","57,880","55,240",54,20.2,-4.6,57
Brookings,"55,462","59,247","62,408",46,6.8,5.3,17
Brown,"70,313","73,976","75,470",22,5.2,2.0,36
Brule,"62,653","72,255","74,055",29,15.3,2.5,34
Buffalo,"34,949","37,709","36,239",65,7.9,-3.9,55
Butte,"48,143","47,947","51,470",56,-0.4,7.3,6
Campbell,"83,945","84,954","74,502",28,1.2,-12.3,66
Charles Mix,"51,663","55,203","57,355",51,6.9,3.9,28
Clark,"75,783","89,184","92,623",5,17.7,3.9,29
Clay,"45,230","48,720","49,412",59,7.7,1.4,38
Codington,"66,408","64,358","67,768",40,-3.1,5.3,19
Corson,"40,134","42,407","39,427",62,5.7,-7.0,61
Custer,"62,430","63,933","68,449",37,2.4,7.1,7
Davison,"60,753","65,890","67,849",39,8.5,3.0,32
Day,"69,625","73,494","73,994",30,5.6,0.7,43
Deuel,"67,270","70,649","75,160",25,5.0,6.4,11
Dewey,"55,351","55,477","55,915",53,0.2,0.8,41
Douglas,"70,350","77,515","76,934",20,10.2,-0.7,48
Edmunds,"91,114","101,771","93,731",4,11.7,-7.9,62
Fall River,"54,786","54,948","59,842",48,0.3,8.9,3
Faulk,"87,529","100,821","92,449",6,15.2,-8.3,63
Grant,"66,479","70,945","74,933",26,6.7,5.6,14
Gregory,"59,653","61,396","64,034",44,2.9,4.3,26
Haakon,"79,259","77,937","84,084",10,-1.7,7.9,5
Hamlin,"62,459","65,703","69,757",36,5.2,6.2,12
Hand,"83,848","88,724","88,410",9,5.8,-0.4,46
Hanson,"75,716","83,136","82,440",12,9.8,-0.8,49
Harding,"62,057","52,013","46,360",60,-16.2,-10.9,64
Hughes,"62,717","64,285","67,656",41,2.5,5.2,21
Hutchinson,"66,441","75,871","75,370",23,14.2,-0.7,47
Hyde,"75,988","82,549","76,842",21,8.6,-6.9,60
Jackson,"41,223","45,241","45,622",61,9.7,0.8,40
Jerauld,"67,926","82,220","83,863",11,21.0,2.0,37
Jones,"90,765","77,379","68,393",38,-14.7,-11.6,65
Kingsbury,"73,548","75,935","81,021",14,3.2,6.7,9
Lake,"71,464","84,343","89,740",7,18.0,6.4,10
Lawrence,"66,914","71,209","75,362",24,6.4,5.8,13
Lincoln,"81,004","84,388","88,589",8,4.2,5.0,23
Lyman,"55,877","59,722","57,455",50,6.9,-3.8,54
McCook,"68,753","74,201","73,312",32,7.9,-1.2,51
McPherson,"73,147","82,114","78,240",18,12.3,-4.7,58
Marshall,"77,463","78,331","78,539",16,1.1,0.3,45
Meade,"52,754","54,673","57,635",49,3.6,5.4,15
Mellette,"45,932","47,019","49,520",58,2.4,5.3,18
Miner,"70,620","78,122","82,324",13,10.6,5.4,16
Minnehaha,"72,596","72,062","74,873",27,-0.7,3.9,27
Moody,"66,556","65,810","71,327",34,-1.1,8.4,4
Oglala Lakota,"36,998","36,742","36,222",66,-0.7,-1.4,52
Pennington,"67,509","70,030","73,485",31,3.7,4.9,24
Perkins,"52,082","54,855","53,149",55,5.3,-3.1,53
Potter,"78,711","83,012","78,059",19,5.5,-6.0,59
Roberts,"50,855","56,147","56,917",52,10.4,1.4,39
Sanborn,"64,176","66,367","73,160",33,3.4,10.2,1
Spink,"82,147","93,419","97,495",3,13.7,4.4,25
Stanley,"80,653","77,783","79,790",15,-3.6,2.6,33
Sully,"103,743","102,117","98,031",2,-1.6,-4.0,56
Todd,"38,022","36,533","37,812",64,-3.9,3.5,30
Tripp,"61,564","66,712","67,191",42,8.4,0.7,42
Turner,"66,025","78,104","78,376",17,18.3,0.3,44
Union,"120,277","131,131","139,931",1,9.0,6.7,8
Walworth,"61,710","64,275","65,619",43,4.2,2.1,35
Yankton,"63,137","67,445","70,996",35,6.8,5.3,20
Ziebach,"32,597","34,577","37,969",63,6.1,9.8,2
,,,,,,,
Tennessee,"57,508","59,210","62,229",--,3.0,5.1,--
Anderson,"51,271","53,607","56,260",15,4.6,4.9,34
Bedford,"45,595","47,410","47,850",47,4.0,0.9,92
Benton,"41,632","41,914","43,832",65,0.7,4.6,49
Bledsoe,"34,388","35,182","36,038",93,2.3,2.4,89
Blount,"52,907","55,312","58,447",11,4.5,5.7,15
Bradley,"46,628","48,065","50,014",39,3.1,4.1,66
Campbell,"42,634","43,205","44,694",58,1.3,3.4,81
Cannon,"44,247","46,695","48,732",42,5.5,4.4,58
Carroll,"42,458","42,468","44,182",64,0.0,4.0,67
Carter,"40,683","40,863","42,833",71,0.4,4.8,38
Cheatham,"53,834","57,638","59,907",10,7.1,3.9,69
Chester,"41,930","41,085","43,542",66,-2.0,6.0,8
Claiborne,"42,113","42,772","44,367",61,1.6,3.7,77
Clay,"39,750","41,327","39,424",87,4.0,-4.6,95
Cocke,"40,996","40,651","42,387",74,-0.8,4.3,63
Coffee,"46,742","47,687","50,163",36,2.0,5.2,29
Crockett,"49,070","48,243","50,106",37,-1.7,3.9,71
Cumberland,"44,792","45,530","48,091",46,1.6,5.6,18
Davidson,"83,008","87,568","92,496",2,5.5,5.6,17
Decatur,"49,622","49,142","52,005",26,-1.0,5.8,11
DeKalb,"48,441","48,847","50,940",32,0.8,4.3,61
Dickson,"50,326","52,968","54,986",19,5.2,3.8,72
Dyer,"52,049","51,006","53,828",22,-2.0,5.5,20
Fayette,"72,077","76,980","81,728",3,6.8,6.2,4
Fentress,"42,447","41,810","43,102",69,-1.5,3.1,83
Franklin,"46,433","47,746","49,891",40,2.8,4.5,54
Gibson,"46,667","46,850","49,536",41,0.4,5.7,13
Giles,"43,975","45,001","47,548",48,2.3,5.7,16
Grainger,"42,856","43,630","45,678",53,1.8,4.7,45
Greene,"42,456","43,721","44,945",57,3.0,2.8,86
Grundy,"39,193","38,989","40,453",80,-0.5,3.8,75
Hamblen,"47,382","47,899","50,094",38,1.1,4.6,48
Hamilton,"59,664","62,241","65,525",8,4.3,5.3,26
Hancock,"33,327","32,401","33,223",94,-2.8,2.5,88
Hardeman,"36,255","35,079","36,966",91,-3.2,5.4,24
Hardin,"45,317","45,206","47,525",49,-0.2,5.1,30
Hawkins,"41,472","41,853","44,192",63,0.9,5.6,19
Haywood,"40,469","38,728","40,397",81,-4.3,4.3,60
Henderson,"46,467","46,035","48,395",43,-0.9,5.1,31
Henry,"51,951","53,517","55,959",17,3.0,4.6,51
Hickman,"42,052","43,462","45,298",56,3.4,4.2,64
Houston,"39,441","39,334","41,112",78,-0.3,4.5,52
Humphreys,"44,435","44,674","47,364",51,0.5,6.0,6
Jackson,"38,228","38,286","40,132",84,0.2,4.8,39
Jefferson,"45,398","45,718","48,184",45,0.7,5.4,23
Johnson,"38,709","39,284","40,345",82,1.5,2.7,87
Knox,"62,742","63,634","67,323",7,1.4,5.8,12
Lake,"32,760","30,176","32,554",95,-7.9,7.9,1
Lauderdale,"41,851","39,746","41,198",77,-5.0,3.7,79
Lawrence,"41,852","41,698","43,273",68,-0.4,3.8,74
Lewis,"41,742","41,937","44,554",59,0.5,6.2,3
Lincoln,"49,330","49,396","51,229",29,0.1,3.7,78
Loudon,"64,528","66,918","70,063",4,3.7,4.7,44
McMinn,"43,540","43,962","45,629",54,1.0,3.8,73
McNairy,"38,988","38,427","40,085",85,-1.4,4.3,59
Macon,"39,384","41,149","41,530",76,4.5,0.9,93
Madison,"52,102","52,126","55,537",18,0.0,6.5,2
Marion,"47,540","49,519","51,590",28,4.2,4.2,65
Marshall,"47,372","49,111","50,555",33,3.7,2.9,85
Maury,"51,926","54,250","57,191",13,4.5,5.4,22
Meigs,"39,913","40,681","41,017",79,1.9,0.8,94
Monroe,"42,225","42,530","44,350",62,0.7,4.3,62
Montgomery,"49,592","50,009","52,478",25,0.8,4.9,35
Moore,"49,116","48,831","51,017",31,-0.6,4.5,56
Morgan,"37,244","38,505","40,237",83,3.4,4.5,53
Obion,"50,177","49,348","51,945",27,-1.7,5.3,28
Overton,"40,761","40,604","42,000",75,-0.4,3.4,82
Perry,"37,732","35,759","37,048",90,-5.2,3.6,80
Pickett,"43,214","41,636","42,545",72,-3.7,2.2,90
Polk,"40,313","41,748","42,519",73,3.6,1.8,91
Putnam,"48,229","48,938","51,132",30,1.5,4.5,55
Rhea,"43,579","43,791","45,745",52,0.5,4.5,57
Roane,"49,851","50,869","53,353",23,2.0,4.9,37
Robertson,"51,772","53,977","56,484",14,4.3,4.6,46
Rutherford,"50,100","52,122","54,623",20,4.0,4.8,40
Scott,"37,731","37,530","39,326",88,-0.5,4.8,42
Sequatchie,"45,532","45,529","48,254",44,0.0,6.0,7
Sevier,"51,742","54,656","57,533",12,5.6,5.3,27
Shelby,"59,191","59,078","61,979",9,-0.2,4.9,36
Smith,"48,103","47,955","50,388",35,-0.3,5.1,32
Stewart,"49,186","48,554","50,483",34,-1.3,4.0,68
Sullivan,"51,006","51,628","54,453",21,1.2,5.5,21
Sumner,"60,183","64,900","67,865",6,7.8,4.6,50
Tipton,"49,715","50,178","52,829",24,0.9,5.3,25
Trousdale,"37,624","38,261","40,015",86,1.7,4.6,47
Unicoi,"42,822","43,539","45,593",55,1.7,4.7,43
Union,"40,980","41,344","43,407",67,0.9,5.0,33
Van Buren,"36,688","35,142","36,828",92,-4.2,4.8,41
Warren,"42,804","42,702","44,375",60,-0.2,3.9,70
Washington,"52,818","52,955","55,967",16,0.3,5.7,14
Wayne,"35,724","36,576","38,758",89,2.4,6.0,9
Weakley,"45,980","45,740","47,451",50,-0.5,3.7,76
White,"42,325","41,610","42,866",70,-1.7,3.0,84
Williamson,"112,642","121,424","128,610",1,7.8,5.9,10
Wilson,"62,049","64,741","68,675",5,4.3,6.1,5
,,,,,,,
Texas,"60,211","62,987","66,252",--,4.6,5.2,--
Anderson,"43,311","44,505","46,478",225,2.8,4.4,191
Andrews,"51,441","54,413","57,526",122,5.8,5.7,140
Angelina,"46,679","48,246","51,080",186,3.4,5.9,133
Aransas,"60,866","63,066","68,361",58,3.6,8.4,42
Archer,"60,307","64,590","67,573",60,7.1,4.6,186
Armstrong,"61,261","67,171","71,357",53,9.6,6.2,108
Atascosa,"45,736","46,445","48,387",213,1.6,4.2,201
Austin,"60,255","61,168","65,441",71,1.5,7.0,78
Bailey,"54,449","51,993","57,209",123,-4.5,10.0,28
Bandera,"58,312","58,536","62,073",92,0.4,6.0,116
Bastrop,"43,444","44,802","47,331",216,3.1,5.6,148
Baylor,"58,945","65,149","62,964",84,10.5,-3.4,243
Bee,"34,147","34,725","37,156",249,1.7,7.0,77
Bell,"50,048","49,139","51,898",181,-1.8,5.6,149
Bexar,"51,734","54,658","57,096",125,5.7,4.5,190
Blanco,"72,389","74,009","78,045",31,2.2,5.5,153
Borden,"94,686","155,753","155,670",3,64.5,-0.1,233
Bosque,"51,653","53,621","57,123",124,3.8,6.5,95
Bowie,"49,083","48,250","51,132",185,-1.7,6.0,123
Brazoria,"56,275","56,395","60,088",102,0.2,6.5,93
Brazos,"48,243","47,440","50,236",196,-1.7,5.9,131
Brewster,"55,331","54,386","58,475",117,-1.7,7.5,59
Briscoe,"62,859","74,322","62,907",85,18.2,-15.4,252
Brooks,"43,440","42,084","45,257",229,-3.1,7.5,58
Brown,"46,031","46,835","49,825",201,1.7,6.4,103
Burleson,"54,009","57,764","61,181",97,7.0,5.9,127
Burnet,"61,326","63,290","67,112",62,3.2,6.0,117
Caldwell,"40,605","42,512","44,202",238,4.7,4.0,207
Calhoun,"63,213","57,128","59,827",104,-9.6,4.7,181
Callahan,"50,610","51,295","54,394",151,1.4,6.0,115
Cameron,"38,105","36,934","38,523",248,-3.1,4.3,197
Camp,"49,854","48,986","50,426",191,-1.7,2.9,215
Carson,"56,787","55,325","61,595",95,-2.6,11.3,22
Cass,"46,368","46,678","49,130",211,0.7,5.3,160
Castro,"85,045","95,383","108,479",10,12.2,13.7,13
Chambers,"60,086","60,763","65,907",68,1.1,8.5,40
Cherokee,"43,362","44,284","46,221",226,2.1,4.4,195
Childress,"39,359","46,983","44,285",237,19.4,-5.7,249
Clay,"52,242","53,256","57,095",126,1.9,7.2,69
Cochran,"58,281","65,793","49,855",200,12.9,-24.2,254
Coke,"51,409","52,345","56,377",131,1.8,7.7,53
Coleman,"57,312","58,555","62,085",91,2.2,6.0,119
Collin,"77,920","82,111","86,860",23,5.4,5.8,138
Collingsworth,"55,368","54,865","58,742",113,-0.9,7.1,75
Colorado,"61,225","59,069","64,084",80,-3.5,8.5,39
Comal,"71,183","71,761","77,224",35,0.8,7.6,57
Comanche,"51,265","53,883","55,417",141,5.1,2.8,216
Concho,"39,240","42,990","41,175",244,9.6,-4.2,246
Cooke,"58,615","59,366","62,126",90,1.3,4.6,184
Coryell,"37,415","37,443","39,462",247,0.1,5.4,156
Cottle,"75,306","98,226","106,885",13,30.4,8.8,35
Crane,"50,237","54,071","57,616",121,7.6,6.6,92
Crockett,"58,205","60,235","68,799",57,3.5,14.2,11
Crosby,"52,254","55,928","55,085",147,7.0,-1.5,241
Culberson,"70,671","84,342","96,410",15,19.3,14.3,10
Dallam,"73,287","70,032","82,618",27,-4.4,18.0,6
Dallas,"72,408","76,654","79,626",29,5.9,3.9,209
Dawson,"45,683","56,349","54,953",149,23.3,-2.5,242
Deaf Smith,"62,875","66,644","75,549",40,6.0,13.4,14
Delta,"47,631","46,899","49,467",206,-1.5,5.5,151
Denton,"70,633","73,537","77,733",32,4.1,5.7,143
DeWitt,"62,144","74,875","77,489",33,20.5,3.5,213
Dickens,"48,357","53,178","56,301",133,10.0,5.9,134
Dimmit,"52,834","52,061","55,714",137,-1.5,7.0,76
Donley,"49,011","48,165","52,905",167,-1.7,9.8,30
Duval,"48,258","49,025","52,669",171,1.6,7.4,60
Eastland,"56,437","53,615","56,246",134,-5.0,4.9,175
Ector,"52,569","55,329","58,961",109,5.3,6.6,89
Edwards,"73,304","70,598","82,497",28,-3.7,16.9,8
Ellis,"53,707","54,454","57,977",119,1.4,6.5,97
El Paso,"44,232","44,092","46,753",223,-0.3,6.0,118
Erath,"47,549","50,354","53,610",159,5.9,6.5,100
Falls,"42,856","43,682","47,110",219,1.9,7.8,50
Fannin,"46,889","46,493","49,380",207,-0.8,6.2,109
Fayette,"67,820","68,234","72,230",46,0.6,5.9,135
Fisher,"56,991","64,898","62,676",86,13.9,-3.4,244
Floyd,"53,341","52,013","51,829",182,-2.5,-0.4,236
Foard,"62,292","74,563","65,386",73,19.7,-12.3,251
Fort Bend,"66,958","68,752","73,855",44,2.7,7.4,62
Franklin,"51,380","56,477","56,987",127,9.9,0.9,228
Freestone,"44,408","44,822","47,097",220,0.9,5.1,169
Frio,"39,216","39,382","41,270",243,0.4,4.8,177
Gaines,"48,577","53,603","56,478",129,10.3,5.4,159
Galveston,"58,913","60,925","64,574",77,3.4,6.0,120
Garza,"31,908","47,400","49,585",205,48.6,4.6,187
Gillespie,"79,692","86,589","93,310",17,8.7,7.8,52
Glasscock,"97,510","132,134","132,049",7,35.5,-0.1,234
Goliad,"55,743","58,893","62,484",89,5.7,6.1,112
Gonzales,"56,235","65,052","64,553",78,15.7,-0.8,239
Gray,"46,540","49,610","53,508",162,6.6,7.9,49
Grayson,"52,462","53,088","55,946",135,1.2,5.4,157
Gregg,"54,914","57,290","59,997",103,4.3,4.7,180
Grimes,"43,625","42,300","44,487",235,-3.0,5.2,164
Guadalupe,"53,212","55,289","58,644",114,3.9,6.1,113
Hale,"42,433","44,675","45,103",230,5.3,1.0,227
Hall,"50,210","47,574","49,814",203,-5.2,4.7,182
Hamilton,"70,499","69,445","70,580",54,-1.5,1.6,223
Hansford,"78,373","83,825","103,818",14,7.0,23.9,3
Hardeman,"55,301","59,911","60,392",101,8.3,0.8,229
Hardin,"52,971","52,853","56,424",130,-0.2,6.8,83
Harris,"65,949","70,644","73,862",43,7.1,4.6,189
Harrison,"47,267","47,843","50,269",193,1.2,5.1,170
Hartley,"85,127","87,980","107,013",12,3.4,21.6,5
Haskell,"47,029","53,724","53,538",161,14.2,-0.3,235
Hays,"56,975","60,327","64,671",76,5.9,7.2,71
Hemphill,"69,046","77,591","90,724",20,12.4,16.9,7
Henderson,"48,144","49,977","52,297",176,3.8,4.6,185
Hidalgo,"34,807","32,961","34,373",252,-5.3,4.3,198
Hill,"49,627","49,927","52,054",178,0.6,4.3,200
Hockley,"50,152","52,411","53,348",164,4.5,1.8,221
Hood,"60,988","62,433","66,521",67,2.4,6.5,94
Hopkins,"50,262","53,768","55,098",146,7.0,2.5,218
Houston,"49,300","50,420","53,657",157,2.3,6.4,101
Howard,"50,412","63,237","66,751",65,25.4,5.6,150
Hudspeth,"39,094","36,370","41,438",242,-7.0,13.9,12
Hunt,"47,442","47,319","50,287",192,-0.3,6.3,106
Hutchinson,"48,192","49,651","52,596",173,3.0,5.9,125
Irion,"74,312","78,474","85,857",24,5.6,9.4,33
Jack,"47,763","50,439","52,599",172,5.6,4.3,199
Jackson,"50,852","51,180","54,702",150,0.6,6.9,79
Jasper,"50,248","50,341","53,205",165,0.2,5.7,146
Jeff Davis,"57,636","60,640","67,092",63,5.2,10.6,24
Jefferson,"47,408","47,661","50,131",197,0.5,5.2,162
Jim Hogg,"42,023","41,520","44,294",236,-1.2,6.7,84
Jim Wells,"48,026","48,793","51,458",183,1.6,5.5,152
Johnson,"51,464","52,389","55,487",139,1.8,5.9,128
Jones,"38,853","41,681","41,722",241,7.3,0.1,232
Karnes,"68,036","80,146","83,442",26,17.8,4.1,204
Kaufman,"50,845","49,502","53,843",156,-2.6,8.8,37
Kendall,"100,160","102,738","110,116",9,2.6,7.2,72
Kenedy,"49,248","37,099","45,802",227,-24.7,23.5,4
Kent,"52,100","67,270","71,715",51,29.1,6.6,87
Kerr,"61,637","63,913","69,038",56,3.7,8.0,47
Kimble,"56,438","54,517","59,148",107,-3.4,8.5,38
King,"89,547","131,940","139,825",6,47.3,6.0,122
Kinney,"43,034","41,321","44,642",233,-4.0,8.0,46
Kleberg,"45,278","45,835","49,333",208,1.2,7.6,56
Knox,"51,783","54,750","52,798",169,5.7,-3.6,245
