,County,Income,State
753,Hamilton,99456,Delaware
754,Hancock,65651,Delaware
755,Harrison,57403,Delaware
756,Hendricks,62305,Delaware
757,Henry,48320,Delaware
758,Howard,50368,Delaware
759,Huntington,52450,Delaware
760,Jackson,51461,Delaware
761,Jasper,60384,Delaware
762,Jay,53566,Delaware
763,Jefferson,54925,Delaware
764,Jennings,51768,Delaware
765,Johnson,61983,Delaware
766,Knox,56279,Delaware
767,Kosciusko,59499,Delaware
768,Lagrange,53984,Delaware
769,Lake,56172,Delaware
770,LaPorte,53144,Delaware
771,Lawrence,54421,Delaware
772,Madison,48479,Delaware
773,Marion,70999,Delaware
774,Marshall,53579,Delaware
775,Martin,53113,Delaware
776,Miami,42691,Delaware
777,Monroe,57379,Delaware
778,Montgomery,51959,Delaware
779,Morgan,56426,Delaware
780,Newton,53359,Delaware
781,Noble,52042,Delaware
783,Orange,47330,Ohio
784,Owen,51946,Ohio
785,Parke,53000,Ohio
786,Perry,46830,Ohio
787,Pike,50515,Ohio
788,Porter,66906,Ohio
789,Posey,61689,Ohio
790,Pulaski,59327,Ohio
791,Putnam,48687,Ohio
792,Randolph,55009,Ohio
793,Ripley,52541,Ohio
794,Rush,58058,Ohio
795,St. Joseph,56895,Ohio
796,Scott,46902,Ohio
797,Shelby,55484,Ohio
798,Spencer,56258,Ohio
799,Starke,44313,Ohio
800,Steuben,56713,Ohio
801,Sullivan,45407,Ohio
802,Switzerland,43212,Ohio
803,Tippecanoe,50492,Ohio
804,Tipton,53169,Ohio
805,Union,51547,Ohio
806,Vanderburgh,59500,Ohio
807,Vermillion,48525,Ohio
808,Vigo,48802,Ohio
809,Wabash,56584,Ohio
810,Warren,56648,Ohio
811,Warrick,71369,Ohio
813,Wayne,52493,Washington
814,Wells,53280,Washington
815,White,56248,Washington
816,Whitley,57565,Washington
819,Adair,69294,Iowa
820,Adams,64379,Iowa
821,Allamakee,55377,Iowa
822,Appanoose,48205,Iowa
823,Audubon,64517,Iowa
824,Benton,70193,Iowa
825,Black Hawk,55529,Iowa
826,Boone,55664,Iowa
827,Bremer,61420,Iowa
828,Buchanan,61848,Iowa
829,Buena Vista,53369,Iowa
830,Butler,60549,Iowa
831,Calhoun,60792,Iowa
832,Carroll,65159,Iowa
833,Cass,61849,Iowa
834,Cedar,66315,Iowa
835,Cerro Gordo,79493,Iowa
836,Cherokee,95566,Iowa
837,Chickasaw,106632,Iowa
838,Clarke,50014,Iowa
839,Clay,62951,Iowa
840,Clayton,65588,Iowa
841,Clinton,53442,Iowa
842,Crawford,54564,Iowa
843,Dallas,84495,Iowa
844,Davis,56856,Iowa
845,Decatur,44361,Iowa
847,Des Moines,58928,Delaware
848,Dickinson,79429,Delaware
849,Dubuque,63435,Delaware
850,Emmet,51744,Delaware
851,Fayette,53333,Delaware
852,Floyd,60794,Delaware
853,Franklin,63224,Delaware
854,Fremont,60566,Delaware
855,Greene,59822,Delaware
856,Grundy,65012,Delaware
857,Guthrie,68446,Delaware
858,Hamilton,60409,Delaware
859,Hancock,63316,Delaware
860,Hardin,77229,Delaware
861,Harrison,59741,Delaware
862,Henry,52183,Delaware
863,Howard,63532,Delaware
864,Humboldt,59055,Delaware
865,Ida,76071,Delaware
867,Jackson,56935,Iowa
868,Jasper,52040,Iowa
869,Jefferson,57961,Iowa
870,Johnson,63487,Iowa
871,Jones,55571,Iowa
872,Keokuk,56070,Iowa
873,Kossuth,63562,Iowa
874,Lee,52269,Iowa
875,Linn,63407,Iowa
876,Louisa,53254,Iowa
877,Lucas,49937,Iowa
878,Lyon,68302,Iowa
879,Madison,61924,Iowa
880,Mahaska,55210,Iowa
881,Marion,64302,Iowa
882,Marshall,49357,Iowa
883,Mills,69748,Iowa
884,Mitchell,110907,Iowa
885,Monona,60126,Iowa
886,Monroe,58282,Iowa
887,Montgomery,50995,Iowa
888,Muscatine,57595,Iowa
889,O'Brien,63799,Iowa
890,Osceola,60171,Iowa
891,Page,54431,Iowa
892,Palo Alto,59206,Iowa
893,Plymouth,66979,Iowa
894,Pocahontas,56936,Iowa
895,Polk,66761,Iowa
896,Pottawattamie,58306,Iowa
897,Poweshiek,56638,Iowa
898,Ringgold,54984,Iowa
899,Sac,75597,Iowa
900,Scott,66748,Iowa
901,Shelby,64704,Iowa
902,Sioux,67668,Iowa
903,Story,55798,Iowa
904,Tama,56041,Iowa
905,Taylor,54697,Iowa
