,State,County,Median AQI,Income
710,Wisconsin,Fond du Lac,41,60018
711,Wisconsin,Forest,42,49367
712,Wisconsin,Grant,48,53781
713,Wyoming,Albany,48,54052
714,Wyoming,Big Horn,39,50641
715,Wyoming,Campbell,45,62147
716,Wyoming,Carbon,8,68521
717,Wyoming,Converse,42,70943
718,Wyoming,Fremont,49,56891
719,Wyoming,Johnson,40,70887
720,Wyoming,Laramie,45,65150
721,Wyoming,Lincoln,44,73432
722,Wyoming,Natrona,42,79846
723,Wyoming,Park,14,77015
724,Wyoming,Platte,14,59292
725,Wyoming,Sheridan,43,73622
726,Wyoming,Sublette,47,70620
727,Wyoming,Sweetwater,47,64115
728,Wyoming,Teton,43,471751
729,Wyoming,Uinta,6,49350
730,Wyoming,Weston,42,54380
