,County,Income,State
649,McLean,"61,174",Illinois
650,Macon,"60,030",Illinois
651,Macoupin,"54,510",Illinois
652,Madison,"60,115",Illinois
653,Marion,"53,678",Illinois
654,Marshall,"58,048",Illinois
655,Mason,"57,624",Illinois
656,Massac,"48,903",Illinois
657,Menard,"59,630",Illinois
658,Mercer,"59,739",Illinois
659,Monroe,"74,760",Illinois
660,Montgomery,"45,501",Illinois
661,Morgan,"52,865",Illinois
662,Moultrie,"85,579",Illinois
663,Ogle,"57,128",Illinois
664,Peoria,"62,066",Illinois
665,Perry,"47,556",Illinois
666,Piatt,"70,047",Illinois
667,Pike,"56,213",Illinois
668,Pope,"40,154",Illinois
669,Pulaski,"47,344",Illinois
670,Putnam,"70,122",Illinois
671,Randolph,"48,860",Illinois
672,Richland,"52,848",Illinois
673,Rock Island,"52,525",Illinois
674,St. Clair,"59,412",Illinois
675,Saline,"51,956",Illinois
676,Sangamon,"60,497",Illinois
677,Schuyler,"53,470",Illinois
678,Scott,"56,623",Illinois
679,Shelby,"54,393",Illinois
680,Stark,"62,669",Illinois
681,Stephenson,"54,743",Illinois
682,Tazewell,"60,555",Illinois
683,Union,"51,681",Illinois
684,Vermilion,"51,471",Illinois
685,Wabash,"53,847",Illinois
686,Warren,"56,656",Illinois
687,Washington,"62,378",Washington
688,Wayne,"50,793",Washington
689,White,"61,640",Washington
690,Whiteside,"54,875",Washington
691,Will,"68,225",Washington
692,Williamson,"55,757",Washington
693,Winnebago,"53,553",Washington
694,Woodford,"66,670",Washington
695,Adams,"50,881",Indiana
696,Allen,"60,607",Indiana
697,Bartholomew,"65,564",Indiana
698,Benton,"56,092",Indiana
699,Blackford,"46,989",Indiana
700,Boone,"97,028",Indiana
701,Brown,"61,898",Indiana
702,Carroll,"53,144",Indiana
703,Cass,"49,257",Indiana
704,Clark,"56,729",Indiana
705,Clay,"47,328",Indiana
706,Clinton,"48,728",Indiana
707,Crawford,"44,174",Indiana
708,Daviess,"59,193",Indiana
709,Dearborn,"60,731",Indiana
710,Decatur,"55,366",Indiana
711,DeKalb,"56,870",Indiana
712,Delaware,"47,629",Delaware
713,Dubois,"68,645",Delaware
714,Elkhart,"58,662",Delaware
715,Fayette,"50,175",Delaware
716,Floyd,"66,690",Delaware
717,Fountain,"53,298",Delaware
718,Franklin,"57,550",Delaware
719,Fulton,"52,342",Delaware
720,Gibson,"58,378",Delaware
721,Grant,"49,748",Delaware
722,Greene,"52,586",Delaware
723,Hamilton,"99,456",Delaware
724,Hancock,"65,651",Delaware
725,Harrison,"57,403",Delaware
726,Hendricks,"62,305",Delaware
727,Henry,"48,320",Delaware
728,Howard,"50,368",Delaware
729,Huntington,"52,450",Delaware
730,Jackson,"51,461",Delaware
731,Jasper,"60,384",Delaware
732,Jay,"53,566",Delaware
733,Jefferson,"54,925",Delaware
734,Jennings,"51,768",Delaware
735,Johnson,"61,983",Delaware
736,Knox,"56,279",Delaware
737,Kosciusko,"59,499",Delaware
738,Lagrange,"53,984",Delaware
739,Lake,"56,172",Delaware
740,LaPorte,"53,144",Delaware
741,Lawrence,"54,421",Delaware
742,Madison,"48,479",Delaware
743,Marion,"70,999",Delaware
744,Marshall,"53,579",Delaware
745,Martin,"53,113",Delaware
746,Miami,"42,691",Delaware
747,Monroe,"57,379",Delaware
748,Montgomery,"51,959",Delaware
749,Morgan,"56,426",Delaware
750,Newton,"53,359",Delaware
751,Noble,"52,042",Delaware
752,Ohio,"55,398",Ohio
753,Orange,"47,330",Ohio
754,Owen,"51,946",Ohio
755,Parke,"53,000",Ohio
756,Perry,"46,830",Ohio
757,Pike,"50,515",Ohio
758,Porter,"66,906",Ohio
759,Posey,"61,689",Ohio
760,Pulaski,"59,327",Ohio
761,Putnam,"48,687",Ohio
762,Randolph,"55,009",Ohio
763,Ripley,"52,541",Ohio
764,Rush,"58,058",Ohio
765,St. Joseph,"56,895",Ohio
766,Scott,"46,902",Ohio
767,Shelby,"55,484",Ohio
768,Spencer,"56,258",Ohio
769,Starke,"44,313",Ohio
770,Steuben,"56,713",Ohio
771,Sullivan,"45,407",Ohio
772,Switzerland,"43,212",Ohio
773,Tippecanoe,"50,492",Ohio
774,Tipton,"53,169",Ohio
775,Union,"51,547",Ohio
776,Vanderburgh,"59,500",Ohio
777,Vermillion,"48,525",Ohio
778,Vigo,"48,802",Ohio
779,Wabash,"56,584",Ohio
780,Warren,"56,648",Ohio
781,Warrick,"71,369",Ohio
782,Washington,"51,198",Washington
783,Wayne,"52,493",Washington
784,Wells,"53,280",Washington
785,White,"56,248",Washington
786,Whitley,"57,565",Washington
787,Adair,"69,294",Iowa
788,Adams,"64,379",Iowa
789,Allamakee,"55,377",Iowa
790,Appanoose,"48,205",Iowa
791,Audubon,"64,517",Iowa
792,Benton,"70,193",Iowa
793,Black Hawk,"55,529",Iowa
794,Boone,"55,664",Iowa
795,Bremer,"61,420",Iowa
796,Buchanan,"61,848",Iowa
797,Buena Vista,"53,369",Iowa
798,Butler,"60,549",Iowa
799,Calhoun,"60,792",Iowa
800,Carroll,"65,159",Iowa
801,Cass,"61,849",Iowa
802,Cedar,"66,315",Iowa
803,Cerro Gordo,"79,493",Iowa
804,Cherokee,"95,566",Iowa
805,Chickasaw,"106,632",Iowa
806,Clarke,"50,014",Iowa
807,Clay,"62,951",Iowa
808,Clayton,"65,588",Iowa
809,Clinton,"53,442",Iowa
810,Crawford,"54,564",Iowa
811,Dallas,"84,495",Iowa
812,Davis,"56,856",Iowa
813,Decatur,"44,361",Iowa
814,Delaware,"60,775",Delaware
